qid,docno,label,iteration
156493,8182161,1,0
156493,6139386,1,0
156493,3288600,0,0
156493,3288596,1,0
156493,2259183,0,0
156493,3288597,1,0
156493,8182166,1,0
156493,2411918,1,0
156493,8029433,0,0
156493,95514,1,0
156493,1960257,0,0
156493,2317807,1,0
156493,2949801,1,0
156493,4940228,0,0
156493,3288601,0,0
156493,885944,1,0
156493,1277727,1,0
156493,1960255,1,0
156493,95515,0,0
156493,2949802,1,0
156493,8182165,1,0
156493,2612492,0,0
156493,7371077,0,0
156493,1960261,0,0
156493,2928707,0,0
156493,1277720,0,0
156493,8182159,0,0
156493,1277726,1,0
156493,4131138,0,0
156493,2612490,0,0
156493,3288599,0,0
156493,1277724,1,0
156493,8182160,0,0
156493,7371079,0,0
156493,349638,1,0
156493,8273019,1,0
156493,3288598,0,0
156493,7371078,1,0
156493,1277723,1,0
156493,4940229,0,0
156493,5530082,1,0
156493,1277722,1,0
156493,8273018,0,0
156493,6139382,1,0
156493,8393766,0,0
156493,1277725,1,0
156493,1347266,0,0
156493,349643,0,0
156493,5022725,0,0
156493,8245444,0,0
156493,1277721,1,0
156493,2259182,1,0
156493,8273017,1,0
156493,349637,0,0
156493,2598786,1,0
156493,1101607,1,0
156493,2928704,0,0
156493,4527706,1,0
156493,2259179,0,0
156493,2259180,1,0
156493,349639,0,0
156493,2317800,0,0
156493,2928702,1,0
156493,1960260,0,0
156493,8803136,0,0
156493,6983822,0,0
156493,95519,1,0
156493,3603922,1,0
156493,2928700,1,0
156493,994482,0,0
156493,95521,1,0
156493,2612491,1,0
156493,2928705,0,0
156493,5437919,0,0
156493,316872,0,0
156493,3288603,1,0
156493,6775071,1,0
156493,8273013,0,0
156493,6267258,0,0
156493,2403232,0,0
156493,3288595,0,0
156493,4542584,0,0
156493,5009743,0,0
156493,3024301,0,0
156493,349644,0,0
156493,2616515,0,0
156493,750111,0,0
156493,6139383,1,0
156493,6464089,0,0
156493,1960259,1,0
156493,7663272,0,0
156493,8266017,1,0
156493,627307,0,0
156493,5406908,0,0
156493,117188,0,0
