qid,docno,label,iteration
156493,8182161,7,0
156493,6139386,10,0
156493,3288600,5,0
156493,3288596,8,0
156493,2259183,4,0
156493,3288597,8,0
156493,8182166,9,0
156493,2411918,11,0
156493,8029433,4,0
156493,95514,8,0
156493,1960257,3,0
156493,2317807,11,0
156493,2949801,10,0
156493,4940228,0,0
156493,3288601,3,0
156493,885944,11,0
156493,1277727,6,0
156493,1960255,7,0
156493,95515,1,0
156493,2949802,9,0
156493,8182165,9,0
156493,2612492,0,0
156493,7371077,5,0
156493,1960261,1,0
156493,2928707,4,0
156493,1277720,1,0
156493,8182159,3,0
156493,1277726,6,0
156493,4131138,3,0
156493,2612490,-1,0
156493,3288599,5,0
156493,1277724,7,0
156493,8182160,3,0
156493,7371079,4,0
156493,349638,7,0
156493,8273019,8,0
156493,3288598,1,0
156493,7371078,8,0
156493,1277723,6,0
156493,4940229,4,0
156493,5530082,7,0
156493,1277722,9,0
156493,8273018,-5,0
156493,6139382,8,0
156493,8393766,4,0
156493,1277725,9,0
156493,1347266,2,0
156493,349643,5,0
156493,5022725,-2,0
156493,8245444,2,0
156493,1277721,8,0
156493,2259182,8,0
156493,8273017,10,0
156493,349637,0,0
156493,2598786,7,0
156493,1101607,8,0
156493,2928704,5,0
156493,4527706,8,0
156493,2259179,2,0
156493,2259180,8,0
156493,349639,-3,0
156493,2317800,5,0
156493,2928702,8,0
156493,1960260,5,0
156493,8803136,5,0
156493,6983822,4,0
156493,95519,7,0
156493,3603922,6,0
156493,2928700,6,0
156493,994482,-2,0
156493,95521,7,0
156493,2612491,8,0
156493,2928705,0,0
156493,5437919,3,0
156493,316872,3,0
156493,3288603,8,0
156493,6775071,8,0
156493,8273013,2,0
156493,6267258,-1,0
156493,2403232,1,0
156493,3288595,4,0
156493,4542584,5,0
156493,5009743,3,0
156493,3024301,-3,0
156493,349644,0,0
156493,2616515,0,0
156493,750111,5,0
156493,6139383,8,0
156493,6464089,0,0
156493,1960259,7,0
156493,7663272,-1,0
156493,8266017,7,0
156493,627307,-1,0
156493,5406908,-2,0
156493,117188,-1,0
156493,8266015,-1,0
156493,6859028,-1,0
156493,6357270,0,0
156493,3180514,-3,0
156493,6983820,-2,0
1110199,3838645,5,0
1110199,554521,-1,0
1110199,398442,0,0
1110199,4511137,5,0
1110199,5218014,2,0
1110199,8160519,6,0
1110199,6392463,0,0
1110199,5846443,0,0
1110199,4511144,5,0
1110199,4489656,0,0
1110199,8160520,7,0
1110199,2925378,2,0
1110199,8160523,4,0
1110199,3609843,0,0
1110199,557605,3,0
1110199,5049366,5,0
1110199,2080928,0,0
1110199,5172688,3,0
1110199,6923050,3,0
1110199,425993,3,0
1110199,7680811,6,0
1110199,507875,-4,0
1110199,507878,-4,0
1110199,6392469,-2,0
1110199,4750530,2,0
1110199,2796830,3,0
1110199,2279578,0,0
1110199,2811563,1,0
1110199,4411531,-1,0
1110199,5172684,6,0
1110199,7821191,0,0
1110199,1795043,0,0
1110199,3588619,1,0
1110199,357932,1,0
1110199,4438812,3,0
1110199,8301971,4,0
1110199,4438807,0,0
1110199,3342396,5,0
1110199,735472,8,0
1110199,1411495,5,0
1110199,3588624,-2,0
1110199,5600214,-1,0
1110199,3968831,2,0
1110199,557603,4,0
1110199,4949578,0,0
1110199,3107787,3,0
1110199,5555051,0,0
1110199,5857921,4,0
1110199,5355385,3,0
1110199,3647394,0,0
1110199,5504315,-2,0
1110199,6923057,1,0
1110199,7174098,3,0
1110199,8301973,5,0
1110199,5716613,4,0
1110199,637099,3,0
1110199,554522,3,0
1110199,892213,0,0
1110199,1806061,3,0
1110199,6509853,2,0
1110199,3447960,0,0
1110199,5486,-2,0
1110199,2207856,0,0
1110199,6738332,6,0
1110199,7369955,2,0
1110199,1426939,4,0
1110199,6162452,3,0
1110199,554529,6,0
1110199,4829634,-2,0
1110199,6645893,1,0
1110199,558317,3,0
1110199,1197690,3,0
1110199,2594143,0,0
1110199,2777133,0,0
1110199,3934419,2,0
1110199,4829633,-2,0
1110199,6503962,-1,0
1110199,1528365,3,0
1110199,3684454,0,0
1110199,2832890,0,0
1110199,5302364,1,0
1110199,3722531,4,0
1110199,5007789,0,0
1110199,1318044,1,0
1110199,2713574,0,0
1110199,6503965,-1,0
1110199,1201839,-2,0
1110199,1318045,1,0
1110199,2777132,-1,0
1110199,2796825,3,0
1110199,4829641,-2,0
1110199,6509857,-3,0
1110199,7637132,1,0
1110199,879021,3,0
1110199,3787868,2,0
1110199,6430361,-2,0
1110199,5355388,2,0
1110199,6503957,-2,0
1110199,7561737,-1,0
1110199,1051978,0,0
1063750,4788295,0,0
1063750,2997653,-6,0
1063750,4337527,1,0
1063750,6093907,-4,0
1063750,2981566,-7,0
1063750,3633193,-5,0
1063750,6093904,-5,0
1063750,3633196,-6,0
1063750,4337526,0,0
1063750,2305581,-10,0
1063750,3327051,-9,0
1063750,4788297,0,0
1063750,4414266,-12,0
1063750,45598,-3,0
1063750,5442717,-7,0
1063750,3641790,-11,0
1063750,4788296,-1,0
1063750,1506582,-8,0
1063750,3388270,-8,0
1063750,3388267,-11,0
1063750,6666451,0,0
1063750,4096516,-7,0
1063750,8689678,-14,0
1063750,4382433,-9,0
1063750,5971113,-11,0
1063750,8689799,-4,0
1063750,7494559,-5,0
1063750,4788299,-9,0
1063750,4391289,-8,0
1063750,6105393,-9,0
1063750,6436703,-7,0
1063750,2380068,-4,0
1063750,2531262,-8,0
1063750,7242446,-10,0
1063750,7279503,-8,0
1063750,7979269,-7,0
1063750,2711887,-13,0
1063750,4762567,-1,0
1063750,8378776,-7,0
1063750,8767916,-12,0
1063750,7881253,-9,0
1063750,5287970,-7,0
1063750,1526356,-10,0
1063750,4164404,-10,0
1063750,6314894,-11,0
1063750,3985729,-11,0
1063750,6992949,-7,0
1063750,7952971,3,0
1063750,6486433,-10,0
1063750,3866883,-9,0
1063750,8230473,-10,0
1063750,782486,-10,0
1063750,4428924,-11,0
1063750,2391457,-1,0
1063750,2992044,-12,0
1063750,2197528,-7,0
1063750,5895422,-8,0
1063750,8251701,-8,0
1063750,3208286,-5,0
1063750,6093911,-1,0
1063750,7243480,-4,0
1063750,7493867,-7,0
1063750,1747824,-9,0
1063750,1321858,-11,0
1063750,4241650,-1,0
1063750,2489562,-9,0
1063750,3422508,-8,0
1063750,6093910,-4,0
1063750,3462045,-9,0
1063750,4025363,-10,0
1063750,6796352,-10,0
1063750,7304883,-9,0
1063750,4164408,-11,0
1063750,5659951,-6,0
1063750,7571426,-5,0
1063750,4505259,-8,0
1063750,3633195,-9,0
1063750,8093226,-6,0
1063750,2499714,-9,0
1063750,3422507,-7,0
1063750,4047881,-11,0
1063750,7947536,-13,0
1063750,7496430,-8,0
1063750,1506576,-4,0
1063750,1707415,-8,0
1063750,2992043,-6,0
1063750,4329899,-6,0
1063750,3785903,-10,0
1063750,5329978,-8,0
1063750,8062288,-11,0
1063750,8093228,-7,0
1063750,1098178,-5,0
1063750,2516,-8,0
1063750,1449750,-9,0
1063750,2690312,-9,0
1063750,3057055,-9,0
1063750,3934498,-4,0
1063750,5236487,-9,0
1063750,5236367,-14,0
1063750,5329975,-7,0
130510,1494936,7,0
130510,7125239,4,0
130510,799647,9,0
130510,7501563,6,0
130510,996732,6,0
130510,996740,6,0
