qid,docno,label,iteration
2082,msmarco_passage_45_623131157,259,0
2082,msmarco_passage_49_487167527,207,0
2082,msmarco_passage_49_486599463,207,0
2082,msmarco_passage_30_709623997,311,0
2082,msmarco_passage_10_669572296,268,0
2082,msmarco_passage_66_702392512,268,0
2082,msmarco_passage_10_669481249,268,0
2082,msmarco_passage_28_625525754,16,0
2082,msmarco_passage_34_93901849,248,0
2082,msmarco_passage_47_611882979,-62,0
2082,msmarco_passage_37_336752759,89,0
2082,msmarco_passage_02_179210433,133,0
2082,msmarco_passage_02_215970697,133,0
2082,msmarco_passage_27_502238343,133,0
2082,msmarco_passage_06_728442920,133,0
2082,msmarco_passage_48_544808271,133,0
2082,msmarco_passage_07_668691835,283,0
2082,msmarco_passage_07_693339166,283,0
2082,msmarco_passage_24_132569288,283,0
2082,msmarco_passage_24_115356547,283,0
2082,msmarco_passage_24_124648822,283,0
2082,msmarco_passage_24_169139765,283,0
2082,msmarco_passage_24_131421371,283,0
2082,msmarco_passage_64_431617227,284,0
2082,msmarco_passage_03_308010621,421,0
2082,msmarco_passage_44_462432502,58,0
2082,msmarco_passage_44_461409698,233,0
2082,msmarco_passage_48_591406582,37,0
2082,msmarco_passage_48_592413714,37,0
2082,msmarco_passage_11_67024711,-97,0
2082,msmarco_passage_13_136821179,232,0
2082,msmarco_passage_26_846132892,-88,0
2082,msmarco_passage_02_77630808,-88,0
2082,msmarco_passage_04_94070926,117,0
2082,msmarco_passage_22_256176072,0,0
2082,msmarco_passage_49_487162093,240,0
2082,msmarco_passage_15_602878005,160,0
2082,msmarco_passage_15_563430484,160,0
2082,msmarco_passage_15_590358302,160,0
2082,msmarco_passage_68_48591780,-62,0
2082,msmarco_passage_48_544777559,-68,0
2082,msmarco_passage_06_728430886,-68,0
2082,msmarco_passage_24_52598713,-68,0
2082,msmarco_passage_45_632929045,179,0
2082,msmarco_passage_29_458776515,-9,0
2082,msmarco_passage_07_123296727,41,0
2082,msmarco_passage_30_608937387,360,0
2082,msmarco_passage_39_125029338,146,0
2082,msmarco_passage_37_336748254,153,0
