qid,docno,label,iteration
2082,msmarco_passage_45_623131157,25,0
2082,msmarco_passage_49_487167527,20,0
2082,msmarco_passage_49_486599463,20,0
2082,msmarco_passage_30_709623997,31,0
2082,msmarco_passage_10_669572296,26,0
2082,msmarco_passage_66_702392512,26,0
2082,msmarco_passage_10_669481249,26,0
2082,msmarco_passage_28_625525754,1,0
2082,msmarco_passage_34_93901849,24,0
2082,msmarco_passage_47_611882979,-6,0
2082,msmarco_passage_37_336752759,8,0
2082,msmarco_passage_02_179210433,13,0
2082,msmarco_passage_02_215970697,13,0
2082,msmarco_passage_27_502238343,13,0
2082,msmarco_passage_06_728442920,13,0
2082,msmarco_passage_48_544808271,13,0
2082,msmarco_passage_07_668691835,28,0
2082,msmarco_passage_07_693339166,28,0
2082,msmarco_passage_24_132569288,28,0
2082,msmarco_passage_24_115356547,28,0
2082,msmarco_passage_24_124648822,28,0
2082,msmarco_passage_24_169139765,28,0
2082,msmarco_passage_24_131421371,28,0
2082,msmarco_passage_64_431617227,28,0
2082,msmarco_passage_03_308010621,42,0
2082,msmarco_passage_44_462432502,5,0
2082,msmarco_passage_44_461409698,23,0
2082,msmarco_passage_48_591406582,3,0
2082,msmarco_passage_48_592413714,3,0
2082,msmarco_passage_11_67024711,-9,0
2082,msmarco_passage_13_136821179,23,0
2082,msmarco_passage_26_846132892,-8,0
2082,msmarco_passage_02_77630808,-8,0
2082,msmarco_passage_04_94070926,11,0
2082,msmarco_passage_22_256176072,0,0
2082,msmarco_passage_49_487162093,24,0
2082,msmarco_passage_15_602878005,16,0
2082,msmarco_passage_15_563430484,16,0
2082,msmarco_passage_15_590358302,16,0
2082,msmarco_passage_68_48591780,-6,0
2082,msmarco_passage_48_544777559,-6,0
2082,msmarco_passage_06_728430886,-6,0
2082,msmarco_passage_24_52598713,-6,0
2082,msmarco_passage_45_632929045,17,0
2082,msmarco_passage_29_458776515,0,0
2082,msmarco_passage_07_123296727,4,0
2082,msmarco_passage_30_608937387,36,0
2082,msmarco_passage_39_125029338,14,0
2082,msmarco_passage_37_336748254,15,0
2082,msmarco_passage_08_99423958,-27,0
2082,msmarco_passage_53_620998115,-27,0
2082,msmarco_passage_04_281806506,10,0
2082,msmarco_passage_04_281815983,10,0
2082,msmarco_passage_04_281825460,10,0
2082,msmarco_passage_66_708619074,23,0
2082,msmarco_passage_55_738286358,22,0
2082,msmarco_passage_08_672756935,53,0
2082,msmarco_passage_04_130638276,-34,0
2082,msmarco_passage_53_588973533,-4,0
2082,msmarco_passage_48_591410873,5,0
2082,msmarco_passage_48_592418005,5,0
2082,msmarco_passage_39_461879190,7,0
2082,msmarco_passage_48_544803655,0,0
2082,msmarco_passage_06_728435519,0,0
2082,msmarco_passage_40_137452930,29,0
2082,msmarco_passage_39_714339196,5,0
2082,msmarco_passage_48_593692065,11,0
2082,msmarco_passage_64_656700867,19,0
2082,msmarco_passage_44_700568174,0,0
2082,msmarco_passage_66_708474825,28,0
2082,msmarco_passage_48_591407023,34,0
