qid,query
55-3,In what ways do gender roles affect workplace dynamics and career advancement?
55-4,How does socialization contribute to the development of gender roles in society?
55-5,What are the effects of gender inequality on different genders in various societal contexts?
55-6,"How do cultural factors, such as media representation, influence gender stereotypes?"
55-7,What role does patriarchy play in perpetuating gender inequality?
55-8,How does ethnicity intersect with gender to shape experiences of inequality?
55-9,What are the psychological effects of gender stereotypes on individuals?
55-10,How can interventions address and reduce gender inequality in society?
102-1,What were the main features and symptoms of the Black Death?
102-2,What were the believed causes of the Black Death during the 14th century?
102-3,What treatments were used to combat the Black Death at the time?
102-4,How did the Black Death affect European society in terms of population and labor?
102-5,What cultural changes occurred in Europe as a result of the Black Death?
102-6,How did the Black Death influence art and literature in Europe?
102-7,What were the circumstances that led to the end of the Black Death?
102-8,What lasting impacts did the Black Death have on public health systems in Europe?
467-1,What is the definition of extinction in the context of animal species?
467-2,What are the main factors that contribute to the endangerment of species like the whooping crane?
467-3,What are the main factors that contribute to the endangerment of species like the cheetah?
467-4,"How do human activities, particularly illegal hunting, impact endangered species?"
467-5,What are some examples of illegal hunting practices that threaten endangered species?
467-6,In what ways can humans be considered an invasive species?
467-7,Are there any circumstances under which humans could be classified as an endangered species?
571-1,What are the primary reasons for the widespread abuse of opioids?
571-2,What factors contribute to the abuse of benzodiazepines?
571-3,What biological and psychological mechanisms make opioid addiction difficult to overcome?
571-4,How did the opioid crisis develop into a national issue in the United States?
571-5,"What are the social, economic, and health impacts of the opioid crisis on society?"
571-6,What role do prescription practices play in the opioid epidemic?
571-7,How do societal attitudes towards addiction influence the opioid crisis?
571-8,What are the current strategies and policies aimed at addressing opioid and benzodiazepine abuse?
571-9,What demographic groups are most affected by opioid and benzodiazepine abuse?
571-10,How does the stigma surrounding addiction affect recovery from opioid addiction?
70-1,What were the reasons behind the internment of Japanese Americans during World War II?
70-2,How did Japan transform into a global power in the late 19th and early 20th centuries?
70-3,"What were the attitudes of Japanese society during wartime, particularly in World War II?"
70-4,How do traditional sitting positions in Japan reflect cultural values and social norms?
70-5,"What is the impact of Japanese media, particularly anime, on global culture?"
983-1,What are the psychological effects of wearing masks on interpersonal communication?
983-2,How has mask-wearing during the COVID-19 pandemic influenced non-verbal communication?
983-3,What are the historical changes in communication methods from the pre-digital era to the present?
983-4,How do cultural differences impact communication styles and effectiveness?
983-5,What role does technology play in shaping modern communication practices?
983-6,How have social media platforms changed the way we communicate?
983-7,What are the effects of remote communication tools (like Zoom) on personal interactions?
983-8,How do different age groups adapt to changes in communication methods?
983-9,What are the implications of reduced facial visibility (due to masks) on language comprehension?
983-10,How have historical events influenced the evolution of language and communication?
528-1,What are the main environmental problems faced by developing countries?
528-2,What factors contribute to the prevalence of environmental problems in developing countries?
528-3,How have approaches to environmental problems in developing countries evolved over the past few decades?
528-4,What are the connections between environmental health and human health?
528-5,How does the state of the environment impact societal well-being?
528-6,Why is environmental protection considered important for sustainable development?
528-7,What defines environmental protection as a public good?
528-8,What are the challenges in implementing environmental protection measures in developing countries?
