qid,docid,docno,rank,score,query
156493,8182161,8182161,0,31.156443797335484,do goldfish grow
156493,6139386,6139386,1,31.032333301202783,do goldfish grow
156493,3288600,3288600,2,30.953842579166288,do goldfish grow
156493,3288596,3288596,3,30.754020983475563,do goldfish grow
156493,2259183,2259183,4,30.362476903889984,do goldfish grow
156493,3288597,3288597,5,30.362476903889984,do goldfish grow
156493,8182166,8182166,6,30.21386861566141,do goldfish grow
156493,2411918,2411918,7,30.20473330712117,do goldfish grow
156493,8029433,8029433,8,30.16105919369662,do goldfish grow
156493,95514,95514,9,29.7558827483207,do goldfish grow
156493,1960257,1960257,10,29.589282793420598,do goldfish grow
156493,2317807,2317807,11,29.5210763631316,do goldfish grow
156493,2949801,2949801,12,29.428248339749533,do goldfish grow
156493,4940228,4940228,13,29.371230787828114,do goldfish grow
156493,3288601,3288601,14,29.30049495341011,do goldfish grow
156493,885944,885944,15,29.22680398976396,do goldfish grow
156493,1277727,1277727,16,29.10036995157622,do goldfish grow
156493,1960255,1960255,17,29.028653315021167,do goldfish grow
156493,95515,95515,18,28.73950669828352,do goldfish grow
156493,2949802,2949802,19,28.67408587160532,do goldfish grow
156493,8182165,8182165,20,28.55269047484792,do goldfish grow
156493,2612492,2612492,21,28.467260529248435,do goldfish grow
156493,7371077,7371077,22,28.467260529248435,do goldfish grow
156493,1960261,1960261,23,28.4669917111792,do goldfish grow
156493,2928707,2928707,24,28.4669917111792,do goldfish grow
156493,1277720,1277720,25,28.457598307200755,do goldfish grow
156493,8182159,8182159,26,28.19959628582082,do goldfish grow
156493,1277726,1277726,27,27.960405545047,do goldfish grow
156493,4131138,4131138,28,27.960405545047,do goldfish grow
156493,2612490,2612490,29,27.937177497908216,do goldfish grow
156493,3288599,3288599,30,27.719051365694845,do goldfish grow
156493,1277724,1277724,31,27.665240633821124,do goldfish grow
156493,8182160,8182160,32,27.647831420063252,do goldfish grow
156493,7371079,7371079,33,27.47410068249712,do goldfish grow
156493,349638,349638,34,27.427081816311382,do goldfish grow
156493,8273019,8273019,35,27.427081816311382,do goldfish grow
156493,3288598,3288598,36,27.42672425158755,do goldfish grow
156493,7371078,7371078,37,27.344033960114928,do goldfish grow
156493,1277723,1277723,38,27.25005598259865,do goldfish grow
156493,4940229,4940229,39,27.25005598259865,do goldfish grow
156493,5530082,5530082,40,27.25005598259865,do goldfish grow
156493,1277722,1277722,41,27.12436422399073,do goldfish grow
156493,8273018,8273018,42,27.101060241199026,do goldfish grow
156493,6139382,6139382,43,27.022127551418137,do goldfish grow
156493,8393766,8393766,44,27.022127551418137,do goldfish grow
156493,1277725,1277725,45,26.99615256169813,do goldfish grow
156493,1347266,1347266,46,26.91577374482318,do goldfish grow
156493,349643,349643,47,26.52900970415648,do goldfish grow
156493,5022725,5022725,48,26.433502947284783,do goldfish grow
156493,8245444,8245444,49,26.36804188991176,do goldfish grow
156493,1277721,1277721,50,26.363029459902403,do goldfish grow
156493,2259182,2259182,51,26.218468281488907,do goldfish grow
156493,8273017,8273017,52,26.17425564396223,do goldfish grow
156493,349637,349637,53,26.15115118455081,do goldfish grow
156493,2598786,2598786,54,26.0014692091369,do goldfish grow
156493,1101607,1101607,55,25.942992563544664,do goldfish grow
156493,2928704,2928704,56,25.942992563544664,do goldfish grow
156493,4527706,4527706,57,25.942992563544664,do goldfish grow
156493,2259179,2259179,58,25.53740956262046,do goldfish grow
156493,2259180,2259180,59,25.53740956262046,do goldfish grow
156493,349639,349639,60,25.416345575046293,do goldfish grow
156493,2317800,2317800,61,25.416345575046293,do goldfish grow
156493,2928702,2928702,62,25.416345575046293,do goldfish grow
156493,1960260,1960260,63,25.38564589659216,do goldfish grow
156493,8803136,8803136,64,25.33978370913828,do goldfish grow
156493,6983822,6983822,65,24.950158487660683,do goldfish grow
156493,95519,95519,66,24.895565104128934,do goldfish grow
156493,3603922,3603922,67,24.895565104128934,do goldfish grow
156493,2928700,2928700,68,24.7664436268244,do goldfish grow
156493,994482,994482,69,24.672553310922265,do goldfish grow
156493,95521,95521,70,24.643381555424007,do goldfish grow
156493,2612491,2612491,71,24.643381555424007,do goldfish grow
156493,2928705,2928705,72,24.643381555424007,do goldfish grow
156493,5437919,5437919,73,24.5096052974906,do goldfish grow
156493,316872,316872,74,24.39643296099855,do goldfish grow
156493,3288603,3288603,75,24.39643296099855,do goldfish grow
156493,6775071,6775071,76,24.39643296099855,do goldfish grow
156493,8273013,8273013,77,24.39643296099855,do goldfish grow
156493,6267258,6267258,78,24.365875203843554,do goldfish grow
156493,2403232,2403232,79,24.178488735807598,do goldfish grow
156493,3288595,3288595,80,24.15455200119132,do goldfish grow
156493,4542584,4542584,81,24.15455200119132,do goldfish grow
156493,5009743,5009743,82,24.15455200119132,do goldfish grow
156493,3024301,3024301,83,24.143335327865127,do goldfish grow
156493,349644,349644,84,23.917578669566986,do goldfish grow
156493,2616515,2616515,85,23.77258907130571,do goldfish grow
156493,750111,750111,86,23.68535986443928,do goldfish grow
156493,6139383,6139383,87,23.68535986443928,do goldfish grow
156493,6464089,6464089,88,23.64662003429271,do goldfish grow
156493,1960259,1960259,89,23.630226918929623,do goldfish grow
156493,7663272,7663272,90,23.463034386860937,do goldfish grow
156493,8266017,8266017,91,23.457749008248303,do goldfish grow
156493,627307,627307,92,23.39245756613329,do goldfish grow
156493,5406908,5406908,93,23.32603990398669,do goldfish grow
156493,117188,117188,94,23.287384865829974,do goldfish grow
156493,8266015,8266015,95,23.234605692549746,do goldfish grow
156493,6859028,6859028,96,23.21267126598027,do goldfish grow
156493,6357270,6357270,97,23.18494874790163,do goldfish grow
156493,3180514,3180514,98,23.17717784362297,do goldfish grow
156493,6983820,6983820,99,23.17717784362297,do goldfish grow
156493,6983825,6983825,100,23.17717784362297,do goldfish grow
156493,7663268,7663268,101,23.17717784362297,do goldfish grow
156493,1861642,1861642,102,23.153575802145696,do goldfish grow
156493,3349838,3349838,103,23.079716981020027,do goldfish grow
156493,2598787,2598787,104,23.015795346581477,do goldfish grow
156493,1341654,1341654,105,22.96582440666535,do goldfish grow
156493,6524745,6524745,106,22.928991829753183,do goldfish grow
156493,8029436,8029436,107,22.928991829753183,do goldfish grow
156493,4527708,4527708,108,22.861586631439653,do goldfish grow
156493,6859027,6859027,109,22.82861111420056,do goldfish grow
156493,8182162,8182162,110,22.787475326898264,do goldfish grow
156493,1172287,1172287,111,22.758290814124457,do goldfish grow
156493,2616513,2616513,112,22.758290814124457,do goldfish grow
156493,6859023,6859023,113,22.689837960124244,do goldfish grow
156493,349641,349641,114,22.6839327416958,do goldfish grow
156493,3349833,3349833,115,22.65592424396727,do goldfish grow
156493,8182157,8182157,116,22.65592424396727,do goldfish grow
156493,911794,911794,117,22.590662631017764,do goldfish grow
156493,6859025,6859025,118,22.58306424112555,do goldfish grow
156493,8376847,8376847,119,22.562789058067786,do goldfish grow
156493,6983819,6983819,120,22.55447443788293,do goldfish grow
156493,2708304,2708304,121,22.536774398875703,do goldfish grow
156493,8820534,8820534,122,22.506952270342342,do goldfish grow
156493,95513,95513,123,22.50218136000672,do goldfish grow
156493,2317803,2317803,124,22.50218136000672,do goldfish grow
156493,4400817,4400817,125,22.50218136000672,do goldfish grow
156493,8376842,8376842,126,22.499796663243664,do goldfish grow
156493,4583221,4583221,127,22.483824057077136,do goldfish grow
156493,4400818,4400818,128,22.4371550224312,do goldfish grow
156493,627306,627306,129,22.428192118160045,do goldfish grow
156493,7529416,7529416,130,22.38193756298782,do goldfish grow
156493,7663273,7663273,131,22.38193756298782,do goldfish grow
156493,1347264,1347264,132,22.354276293616365,do goldfish grow
156493,5122747,5122747,133,22.27351165748601,do goldfish grow
156493,2154546,2154546,134,22.262972017139703,do goldfish grow
156493,5009744,5009744,135,22.262972017139703,do goldfish grow
156493,2141931,2141931,136,22.258303970855867,do goldfish grow
156493,2403228,2403228,137,22.258303970855867,do goldfish grow
156493,4588174,4588174,138,22.258303970855867,do goldfish grow
156493,5437917,5437917,139,22.258303970855867,do goldfish grow
156493,8245439,8245439,140,22.25230507271559,do goldfish grow
156493,5346660,5346660,141,22.236111603303375,do goldfish grow
156493,95512,95512,142,22.18137976938279,do goldfish grow
156493,1237364,1237364,143,22.16248861468848,do goldfish grow
156493,1583798,1583798,144,22.136028732617543,do goldfish grow
156493,4131137,4131137,145,22.136028732617543,do goldfish grow
156493,5009746,5009746,146,22.136028732617543,do goldfish grow
156493,2940588,2940588,147,22.100168344546937,do goldfish grow
156493,5022716,5022716,148,22.100168344546937,do goldfish grow
156493,2236390,2236390,149,22.090970198282225,do goldfish grow
156493,6859031,6859031,150,22.090970198282225,do goldfish grow
156493,1101609,1101609,151,22.06055526909025,do goldfish grow
156493,1172283,1172283,152,22.06055526909025,do goldfish grow
156493,2141935,2141935,153,22.06055526909025,do goldfish grow
156493,2259185,2259185,154,22.043621675092105,do goldfish grow
156493,2123395,2123395,155,22.01845327868888,do goldfish grow
156493,7085960,7085960,156,22.01845327868888,do goldfish grow
156493,994488,994488,157,22.01508958436569,do goldfish grow
156493,2612493,2612493,158,22.00464503415835,do goldfish grow
156493,8273011,8273011,159,22.00464503415835,do goldfish grow
156493,2717163,2717163,160,21.982399430989098,do goldfish grow
156493,1252112,1252112,161,21.96435602930801,do goldfish grow
156493,8463133,8463133,162,21.96435602930801,do goldfish grow
156493,2236388,2236388,163,21.93972847298174,do goldfish grow
156493,59106,59106,164,21.895464746100537,do goldfish grow
156493,2259184,2259184,165,21.895464746100537,do goldfish grow
156493,4623707,4623707,166,21.895464746100537,do goldfish grow
156493,6595537,6595537,167,21.895464746100537,do goldfish grow
156493,2717158,2717158,168,21.868992136934693,do goldfish grow
156493,5479185,5479185,169,21.790543562853276,do goldfish grow
156493,8672390,8672390,170,21.781601292259303,do goldfish grow
156493,6524741,6524741,171,21.777132908653627,do goldfish grow
156493,2708309,2708309,172,21.771390537182835,do goldfish grow
156493,349645,349645,173,21.700144268531,do goldfish grow
156493,3603924,3603924,174,21.700144268531,do goldfish grow
156493,1939300,1939300,175,21.68072724658601,do goldfish grow
156493,1820469,1820469,176,21.660073221033343,do goldfish grow
156493,5059020,5059020,177,21.660073221033343,do goldfish grow
156493,2154547,2154547,178,21.625737155125805,do goldfish grow
156493,2403236,2403236,179,21.625737155125805,do goldfish grow
156493,8672392,8672392,180,21.625737155125805,do goldfish grow
156493,2141939,2141939,181,21.587805137017792,do goldfish grow
156493,4623711,4623711,182,21.54426527817647,do goldfish grow
156493,6859029,6859029,183,21.539893730811567,do goldfish grow
156493,95518,95518,184,21.51288546698856,do goldfish grow
156493,117187,117187,185,21.472087825288316,do goldfish grow
156493,2403231,2403231,186,21.472087825288316,do goldfish grow
156493,4527709,4527709,187,21.472087825288316,do goldfish grow
156493,3218250,3218250,188,21.46340496457679,do goldfish grow
156493,7063365,7063365,189,21.46340496457679,do goldfish grow
156493,4396055,4396055,190,21.429689109090567,do goldfish grow
156493,5009748,5009748,191,21.404330155818855,do goldfish grow
156493,6859026,6859026,192,21.404330155818855,do goldfish grow
156493,8029430,8029430,193,21.404330155818855,do goldfish grow
156493,994481,994481,194,21.320606427644478,do goldfish grow
156493,994484,994484,195,21.320606427644478,do goldfish grow
156493,2154548,2154548,196,21.320606427644478,do goldfish grow
156493,2940587,2940587,197,21.320606427644478,do goldfish grow
156493,4940235,4940235,198,21.31632516537271,do goldfish grow
156493,6642654,6642654,199,21.237163674610706,do goldfish grow
156493,6859024,6859024,200,21.22394760359453,do goldfish grow
156493,8820527,8820527,201,21.22180469385004,do goldfish grow
156493,1939299,1939299,202,21.20415431009072,do goldfish grow
156493,2154550,2154550,203,21.20415431009072,do goldfish grow
156493,4940231,4940231,204,21.171247400604276,do goldfish grow
156493,5009742,5009742,205,21.171247400604276,do goldfish grow
156493,5027567,5027567,206,21.171247400604276,do goldfish grow
156493,7371082,7371082,207,21.171247400604276,do goldfish grow
156493,2708303,2708303,208,21.16280609468857,do goldfish grow
156493,4400816,4400816,209,21.16280609468857,do goldfish grow
156493,5530075,5530075,210,21.09315780701362,do goldfish grow
156493,7431316,7431316,211,21.09315780701362,do goldfish grow
156493,5524680,5524680,212,21.09036014106255,do goldfish grow
156493,5555925,5555925,213,21.046579950441327,do goldfish grow
156493,26129,26129,214,21.02396645040173,do goldfish grow
156493,2154545,2154545,215,21.02396645040173,do goldfish grow
156493,5437922,5437922,216,21.02396645040173,do goldfish grow
156493,5437924,5437924,217,21.02396645040173,do goldfish grow
156493,5607827,5607827,218,21.02396645040173,do goldfish grow
156493,6456917,6456917,219,21.02396645040173,do goldfish grow
156493,3179963,3179963,220,20.99359936543696,do goldfish grow
156493,5452374,5452374,221,20.98331731017859,do goldfish grow
156493,8273014,8273014,222,20.98331731017859,do goldfish grow
156493,3180508,3180508,223,20.87872050730057,do goldfish grow
156493,3180509,3180509,224,20.87872050730057,do goldfish grow
156493,3553296,3553296,225,20.87872050730057,do goldfish grow
156493,4093589,4093589,226,20.87872050730057,do goldfish grow
156493,6343401,6343401,227,20.87872050730057,do goldfish grow
156493,7976153,7976153,228,20.87872050730057,do goldfish grow
156493,8820528,8820528,229,20.87872050730057,do goldfish grow
156493,1172281,1172281,230,20.87461485378219,do goldfish grow
156493,5479181,5479181,231,20.87461485378219,do goldfish grow
156493,8697904,8697904,232,20.87461485378219,do goldfish grow
156493,2708301,2708301,233,20.87215223663369,do goldfish grow
156493,6343406,6343406,234,20.861375063331785,do goldfish grow
156493,2717165,2717165,235,20.798694249614176,do goldfish grow
156493,7371081,7371081,236,20.798694249614176,do goldfish grow
156493,1034435,1034435,237,20.79814142661862,do goldfish grow
156493,7663269,7663269,238,20.79814142661862,do goldfish grow
