qid,docid,docno,rank,score,query
19335,8412682,8412682,1,0.989172,anthropological definition of environment
19335,8412683,8412683,2,0.959271,anthropological definition of environment
19335,6452949,6452949,3,0.958869,anthropological definition of environment
19335,342431,342431,4,0.942997,anthropological definition of environment
19335,527690,527690,5,0.896324,anthropological definition of environment
19335,7367411,7367411,6,0.866661,anthropological definition of environment
19335,7267248,7267248,7,0.847759,anthropological definition of environment
19335,8412681,8412681,8,0.838724,anthropological definition of environment
19335,8412684,8412684,9,0.798124,anthropological definition of environment
19335,527695,527695,10,0.718653,anthropological definition of environment
19335,3175481,3175481,11,0.575519,anthropological definition of environment
19335,1568085,1568085,12,0.510167,anthropological definition of environment
19335,527698,527698,13,0.503446,anthropological definition of environment
19335,527694,527694,14,0.375053,anthropological definition of environment
19335,527689,527689,15,0.368778,anthropological definition of environment
19335,2046505,2046505,16,0.365246,anthropological definition of environment
19335,5051739,5051739,17,0.350137,anthropological definition of environment
19335,3175484,3175484,18,0.339546,anthropological definition of environment
19335,1730,1730,19,0.255015,anthropological definition of environment
19335,712806,712806,20,0.217284,anthropological definition of environment
19335,2186129,2186129,21,0.215224,anthropological definition of environment
19335,8754859,8754859,22,0.137546,anthropological definition of environment
19335,1568088,1568088,23,0.094756,anthropological definition of environment
19335,129764,129764,24,0.0657795,anthropological definition of environment
19335,7367402,7367402,25,0.0621138,anthropological definition of environment
19335,4540809,4540809,26,0.0465909,anthropological definition of environment
19335,7692043,7692043,27,0.00684626,anthropological definition of environment
19335,7367407,7367407,28,0.0055194,anthropological definition of environment
19335,8024611,8024611,29,0.00462042,anthropological definition of environment
19335,8412687,8412687,30,0.00408421,anthropological definition of environment
19335,3539483,3539483,31,0.0030552,anthropological definition of environment
19335,691498,691498,32,0.00273106,anthropological definition of environment
19335,3445057,3445057,33,0.00132956,anthropological definition of environment
19335,6999143,6999143,34,0.00073483,anthropological definition of environment
19335,7298840,7298840,35,0.000691201,anthropological definition of environment
19335,6783161,6783161,36,0.000647389,anthropological definition of environment
